+-------------------------------------------------------------+------------+
|                           Modules                           | Parameters |
|      single_transformer_blocks.20.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.20.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.20.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.20.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.21.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.21.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.21.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.21.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.21.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.21.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.21.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.21.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.22.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.22.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.22.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.22.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.22.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.22.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.22.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.22.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.23.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.23.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.23.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.23.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.23.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.23.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.23.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.23.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.24.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.24.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.24.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.24.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.24.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.24.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.24.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.24.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.25.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.25.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.25.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.25.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.25.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.25.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.25.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.25.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.26.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.26.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.26.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.26.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.26.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.26.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.26.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.26.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.27.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.27.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.27.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.27.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.27.attn.to_out.0.weight      |  9437184   |
